Gu. a cross botonny arg. over all a bend az.	Godley, Ireland.
Gu. a cross botonny and raguly arg.	John le Frome, Harl. MS. 1465, fo. 48 b.
Gu. a cross croslet arg.	Christian, Ireland.
Gu. a cross engr. arg.	Bloyon, Cornwall. Bockhill or Brockhill. Bradley, V*. Englethorpe, Ingaldesthorp, Norflk. M. John de Ingesthorp, S. Thomas Inglethorp, Bishop of Rochester 1283-91. Inglethorp or Inglethorpe, Norflk. Inglethorp, V*. Inglethorpe, quartered by Cotes, Harl. MS. 6829, fo. 9. Sr. de Ingoldthorpe, Norflk, V. Keme. Legh, Bradley, co. Lancaster, V. Legh, The Limes, Lewisham, Kent; quartering Mills. Legh, Lyme, co. Chester; the heiress m. Ormerod. Leigh alias Norley, 1369. Leigh, Collinson, Somerset, ii, 69. MIddleton. Nocourt. Norley. Norley, co. Chester. Sire Thomas de Yngoldthorp, N. And with a label or. Sire John de Yengethorp, O.
Gu. crusily fitchy or a cross engr. arg.	Brokhull, Kent, V.
Gu. a cross fleurouny arg.	Bromflett.
Gu. a cross flory arg.	Atton, W. Gilbart de Atton, Y. Quintwell or Quittwell, Filmington, Norfolk. Quitwell, Norfolk. Wootwell, W. Wotwell.
Gu. a cross fusily arg.	Stawell, Cothelstone, co. Somerset.
Gu. a cross of nine lozenges conjoined arg.	Stowell, Cuderston, Harl. MS. 1407, fo. 2. But ten lozenges. Thomas Stawell, V.
Gu. a cross lozengy arg.	Stanwell. Watwell, West Anstey, co. Devon. Stawell, Collinson, Somerset, iii, 252, 253, 264. Stowell, co. Somerset.
Gu. a cross maltese arg.	Knights of Malta.
Gu. a cross of four mascles arg. at each point a bezant.	Walois.
Gu. a cross masculy arg.	Butler.
Gu. a cross moline arg.	Alford. Beake. Joan de Beck, E. Jon Beck, F. Thomas Becke, Bishop of St. David's 1280-93. Sire Wauter de Bee, J. Anthony .... Benhall, V*. Fere, V*. But a bendlet az. Benhall, V. Sr. Guy Ferree, V. The cross square pierced. Ferre, Harl. MS. 1407, fo. 12.
Gu. a cross moline arg. over all a bend sa.	Ferrers.
Gu. a cross moline arg. over all a bendlet sa.	Sir Robert Willoughby, R.
Gu. a cross moline sarcelled arg.	Bec.
Gu. a cross moline voided arg.	Beack or Beeke.
Gu. a cross pall arg.	Deycheler, Germany.
Gu. a cross patonce arg.	Amentom. Amerle. Sr. Gilbert de Aton, Cumberland, temp. Edward I, V.Aton, temp. Edward IV, Harl. MS. 6137. Atton, Westmoreland, V. Aumerle. Ayton. Bec or Beck. Latimer, 1730. Parnell. Paynell, V. M. John Paynell, Knapcost, S. Boniface of Savoy, Archbishop of Canturbury 1245-70. Eustace de Vescy, V. William de Vescy, B. And with a label of three points az. M. Thomas Latymer, S.
Gu. a cross patonce arg. over all a bend flory counterflory or.	Latymer.
Gu. a cross patonce voided arg.	Melton.
Gu. a cross patty arg.	Aton, Westmoreland; and co. Lancaster. Sire Gilberd de Atone, N. Sr. Gilbert de Atton, M; Y. Cross, 1730. Simon Islip, Archbishop of Canterbury 1349-66, Lansd. MS. 255. Paynell. Quintwell or Quittwell, Filmington, Norfolk. Rowgy. Order of St. John of Jerusalem, or Hospitallers.
Gu. a cross patty crenelly at the ends arg.	Batnymersh, V.
Gu. a cross patty fitchy arg.	Thomas le Bek or Beke, Bishop of Lincoln 1342-46. Columbers.
Gu. a cross patty fitchy at the foot arg.	Rote.
Gu. a cross patty pointed voided arg. at each corner a bezant.	Henry Le Waleys, V. Sir Henry Lee, Wales, Harl. MS. 1465, fo. 57.
Gu. a cross potent arg.	Crosse, Liverpool, co. Lancaster.
Gu. a cross sarcelly arg.	Monsire de Beke, Y. Bernevill. Malton or Melton, co. Lancaster. Offield or Ofield. Paynell. Samay. Sir Pierce Sannay, I.
Gu. a cross sarcelly and over all a bend arg.	Bennall.
Gu. a cross sarcelly arg. over all a baton az.	Robert Benhalle, Y. Gu Ferre, G.
Gu. a cross voided arg.	Duxbury.
Gu. bezanty a cross humetty chequy arg. and az.	Walsingham, Kent.
Gu. a cross chequy arg. and sa.	Sampson, Suffolk.
Gu. a cross humetty chequey or and az.	William Glocester, V.
Gu. a cross chequy or and sa.	Gloucester. Sampson.
Gu. bezanty a cross compony arg. and az.	Walsingham, Scadbery, Kent, V. The cross humetty. Sr. .... de Walsingham, V.
Gu. a cross compony arg. and sa.	Sampson, V*.
Gu. a cross compony or and sa.	Sampson.
Gu. a cross countercompony arg. and sa.	Sr. Thomas Sampson, V.
Gu. a cross countercompony or and az.	Codinton.
Gu. a cross erm.	Sr. Nicholas .... Berks; Penny Darren Place, Ronda House, and Landaff House, co. Glamorgan; Yarmouth, Norflk; and Aston and Rotherham, co. York.
Gu. a cross croslet erm.	Ateste. Atley or Atleigh. Sr. Richard Atleys, V. At-Lezze, Lezze Court, Kent. Atteleys. Keene. Norton, Kent, Harl. MS. 4108, fo. 61.
Gu. a cross engr. erm.	Macklesfield or Maxfield. Maclefield or Maclesfield, Horton, co. Chester; and co. Stafford. Maxfeld, V. Maxfield, V*; and co. Chester. Mayfield.
Gu. a cross flory erm.	Beake, Maidstone, Kent.
Gu. a cross gringoly erm. heads or.	Kaer.
Gu. a cross moline erm.	Bec or Beck, Pleasley, co. Derby; the coheirs of Anthony Beke, Bishop of Durham 1283-1311; K. Harl. MS. 6589, or de Beeke, K, Harl. MS. 6137; m. Harcourt and Willoughby. Sr. de Beke, V. Harold. Pannell.
