Arg. a fess gu. betw. in chief a chev. betw. three bugle horns and in base the same all gu.	Hone, Mexborough, co. York.
Arg. a fess embattled gu. therefrom issuant in chief a dexter arm embowed in armour ppr. garnished or encircled by a wreath of laurel the hand supporting the French invincible standard in bend sinister also ppr. in base a chev. indented gu. betw. betw. three boar's heads erased az.	Abercromby, Baron Abercromby, representative of the Tullibody branch of the Abercrombys, of Birkenbog.
Az. a fess betw. two mulltes pierced in chief and a chev. in base or within a bordure engr. arg.	Dodington, co. Salop.
Gu. a fess or. betw. a chev. in chief and a cinque-foil in base arg. a bordure of the second.	Nurse, Scotland.
Or a fess and in base a chev. gu. on a canton of the last a mullet of the first.	Fitz-Routh.
Arg. a fess betw. two chev. az.	Ementhall. Mollington or Molington, Suffolk. Sire Johan de Molingtone, N. Sir John de Molyngton, co. Suffolk. temp. Ed. I. V. Tendering or Tendring.
Arg. a fess betw. two chev. az. on the chev. three crescents of the field.	Tendering.
Arg. a fess az. betw. two chev. gu.	Tracheon.
Arg. a fess erm. betw. two chev. gu.	Sir John Charnell, L.
Arg. a fess betw. two chev. gu.	Andelby. Fitz-Walter. Fitz-Water, Essex. Ideche, Suffolk. Millington, Suffolk. Mollington, Suffolk. Feche, Brunne, co. Cambridge; temp. Henry III. Petche, co. Cambridge; temp. Henry III. Petche. Sire Gilbert Peche, A, B, D, J, L, N. Hamund Petche, E. Sir William Peche, I. John Peeche, Y. Sir Thomas Peche, Suffolk, V. Peche or Pechey, Suffolk. Spyce or Spice.
Arg. a fess betw. two chev. gu. a label az.	Sire Hugh Peche, N.
Arg. a fess betw. two chev gu. a label bezanty.	Sire Robert Peche, N.
Arg. the field replenished with martlets sa. a fess betw. two chev. gu.	Pechey, Suffolk, Sire Edmon Peche, N. Peche, V.
Arg. a fess betw. two chev. sa.	Challers. Raufe Chalers, Y. Callrey or Calney. Escallers. John Escalers, Y. Gerbridge. Heningham. Holde. Holden. Honnyton. Honyngton, V. Housden. Lamborn or Lamborne, Lambourn, Cornwall; the heiress m. Arundell or Lanherne, Sire William Lymbirg, O. Peche or Pechey. Suffolk. William Petche, E. William Pecchye, F. Sire William Peche, N.
Az. a fess betw. two chev. arg.	Bomstead, Essex, V. Tendering, Boxford, Suffolk; the dau. and heiress of Sir John Tendering, Knt. m. Sir John Perient, Knt. Auditor of the Court of Wards and Liveries; temp. Henry VIII; and daus. co-heirs, viz. Ann, m. to George Gyll, of Wyddial Hall, co. Herts.; and Jocose, m. to William Barley, of Albury, in the same county, M. William Tendryng, S. Sir John Tendring, Suffolk; temp. Ed. I; V. Tendering or Tendring. Terdering, Norfolk; and Suffolk.
Az. a fess erm. betw. two chev. arg.	Whirple, Dickleborough, Norfolk.
Az. a fess betw. two chev. erm.	Grey, Merton, Norfolk. Persalle, V.
Az. a fess betw. two chev. engr. erm.	Kirkby. Kyrby or Kyrkby, co. Lincoln. Kyrkeby.
Az. a fess engr. betw. two chev. engr. erm.	Kyrkby, V.
Az. a fess erm. betw. two chev. or.	Bomsted.
Az. a fess betw. two chev. gobony erm. and gu.	Knaplock, Winchester, 1601.
Az. a fess betw. two chev. or.	Aspall, Suffolk. Bomsted. Bomsteed or Bonysted, Essex. Sire William de Bomstede, N. Bubsted. Carnerd, Suffolk. Cornard, Suffolk. Cornerd. Sir Richard Corneed, co. Suffolk, V. Sire Richard de Cornerzi, N. Sir Richard Cornerd, R. M. Thomas Cornerd, S. Gray, Martin, and Tarbrook, Norfolk; Visitation 1634. Grey, Ilchester, Norfolk. Morwell, V. Tendering or Tendring, Norfolk; and Suffolk.
Az. a fess betw. two chev. or a label gu.	Sire Thomas de Grey, N.
Az. a fess betw. two chev. or a label gu. flory arg.	Sire Johan Tendringe.
Az. a fess betw. two chev. vair.	Radford. Smalley, co. Derby.
Erm. a fess betw. two chev. sa.	Bainard.
Erm. a fess vair betw. two chev. gu.	St. Quintin.
Gu. a fess betw. two chev. arg.	Engham. Northfolke or Norfolk. Richard de Norfolk, G. Nourse, Milton, co. Bucks; Essex; Chilling Place, and Wood Eaton, co. Oxford, 1629. Nurse.
Gu. a fess betw. two chev. erm.	Charnell, co. Warwick; and co. Stafford. Sir de Charnells, co. Warwick, V. Hussey. John de HUsee, Y. Kirkeby, co. Lincoln.
