Arg. three lion's heads couped gu. within a bordure engr. vert.	Windlowe, alias Winlove; granted 1596.
Arg. three lion's heads erased gu. within a bordure engr. vert.	Winlow, Lewknor, co. Oxford. Winlow, co. Lincoln.
Arg. three lion's heads erased gu. within a bordure of the second charged with six fleurs-de-lis of the first.	Scott, Hedderick, Scotland.
Arg. three lion's heads erased within a bordure engr. sa.	Offley. Otteley or Oteley, Suffolk. Robert Otteley, V. Sir Roger Otteley, Alderman of London, V. Otteley, Lord Mayor of London 1434.
Az. three lion's heads erased or within a bordure of the last.	Price, Saintfield, co. Down, Ireland.
Or three lion's heads erased gu. within a bordure az. charged with four crescents of the field.	Scott, Scotland.
Or three lion's heads erased gu. a bordure engr. az.	John Trefnant or Trevenant, Bishop of Hereford 1389-1404. Allho; Enderby's Cambria. Allo ap Rhiwallon.
Per pale arg. and sa. three lion's heads erased two and one ermines and erm. within a bordure engr. counterchanged.	Stubbes.
Sa. three lion's heads erased arg. in chief a mullet of the last a bordure of the second.	M'Match, Achinsay.
Arg. three bull's heads erased sa. armed vert within a bordure indented of the second.	Turnbull, Stickcathran, Scotland; New Register.
Arg. three wolf's heads erased gu. within a bordure of the second charged with eight castles or.	Fowler, co. Oxford.
Gu. three skenes (or daggers) paleways in fess arg. hilted and pomelled or surmounted of as many wolf's heads of the third a bordure engr. arg.	Skene, Dyce, Scotland. The same buth the bordure invecked. Skene, Ramore, Scotland.

